,ticker,mktcap
114,HAL,45869760000
115,COF,42112444000
116,KMI,4.95E+10
117,JCI,nm
118,ADP,43717906000
119,KMB,41527112000
120,ITW,44501490000
121,HPE,4.08E+10
122,BLK,61646283972
123,APC,35750550000
124,ANTM,37513896000
125,PSX,43932537840
126,BBT,37245546500
127,GIS,3.66E+10
128,CME,38302810420
129,EMR,36347360000
130,DAL,36520440000
131,BDX,35967908200
132,MMC,36249130000
133,YHOO,39383486560
134,AMAT,35216460000
135,CI,34428630060
136,PX,34669858500
137,SYK,43077140000
138,CSX,33787690000
139,CTSH,33534435000
140,TRV,32848830000
141,MCK,32788680000
142,PXD,32476800000
143,HUM,31772030880
144,SPGI,NA
145,ICE,6.65E+09
146,APD,31535618000
147,NSC,31160842000
148,PSA,36386386400
149,WM,30790408000
150,KR,30975700000
151,ECL,34517061000
152,AON,30796408000
153,ETN,30301956000
154,LYB,37302160000
155,EXC,30136770000
156,DE,31727850000
157,FOXA,52368930000
158,EBAY,31709760000
159,PCG,NA
160,REGN,44168565840
161,AFL,29347173200
162,AEP,29041608315
163,LUV,29131250000
164,SE,28787850000
165,VLO,28317600000
166,CCI,28243615140
167,BSX,28228662000
168,STT,30985105600
169,INTU,29344920000
170,BHI,27661900000
171,SYF,28615680000
172,DFS,27261630000
173,SYY,29870804121
174,ROST,26760908700
175,PLD,27852480000
176,HPQ,2.66E+10
177,ALXN,27743154840
178,ALL,26256615000
179,STI,26026950000
180,PPG,25546159000
181,STZ,33689106000
182,FIS,25472700000
183,ADM,25462470000
184,APA,2.51E+10
185,ZTS,25084202000
186,SRE,25190019000
187,GLW,26247969000
188,LVS,49831188913
189,MPC,24920600000
190,ISRG,25554294500
191,ORLY,26408008800
192,AAL,nm
193,ATVI,27669600000
194,EQIX,24359554080
195,TEL,25038495000
196,DVN,25034940000
197,CMI,23847396000
198,CBS,27081120000
199,LNKD,26982168000
200,WY,23247176520
201,MAR,20984546000
202,WMB,23082040600
203,FISV,23298874000
204,AZO,23877591840
205,TSLA,29723489000
206,ADI,23185745920
207,HCA,27618176880
208,PPL,22764444080
209,NWL,22856262000
210,EA,23845220000
211,CAH,22865220000
212,AVB,22534760884
213,STJ,2.30E+10
214,HCN,22765155740
215,EIX,22625330000
216,YUM,25957100000
217,EQR,22946203730
218,PCAR,21867888000
219,BAX,24447870000
220,ED,21342643000
221,VTR,21399918120
222,APH,21549682000
223,SHW,25462341387
224,PEG,20985480000
225,OMC,20639556000
226,MTB,22458382440
227,MU,20248620000
228,VRTX,19985472000
229,CXO,19372631080
230,IP,20233416000
231,FITB,19708995363
232,CCL,37889170000
233,XEL,19878169660
234,NUE,19902541320
235,DLTR,20777564000
236,DG,21967849120
237,ILMN,19691539140
238,PGR,19467180000
239,ZBH,NA
240,IR,19514572000
241,MNST,8702731560
242,PAYX,21474618000
243,BXP,19094367680
244,UAL,49499205000
245,KEY,17217564600
246,PH,18572075986
247,AMP,18730440000
248,ROP,18567759420
249,FCX,20737850000
250,HIG,18084656000
251,VFC,22562566770
252,WDC,18145950000
253,SWK,17554274250
254,NTRS,18734734269
255,WEC,17749569000
256,K,2.55E+10
257,EW,18069585000
258,TROW,18189136000
259,DLPH,17457280000
260,CFG,17462813836
261,ROK,17529381000
262,NEM,17225640000
263,EL,29005410000
264,LB,20153140000
265,TAP,21203889000
266,FTV,NA
267,RF,16952080000
268,LRCX,19090802850
269,TSN,24464700000
270,VMC,16966896450
271,DTE,16756200000
272,MYL,19168996000
273,VNO,18577192000
274,PFG,16650739500
275,MCO,19527150000
276,NBL,16408800000
277,ES,16444948818
278,INCY,19883022750
279,WLTW,NA
280,DPS,16107618000
281,CAG,16106910000
282,HES,17476560000
283,LVLT,20027933380
284,TMUS,45141664103
285,ADSK,16411896000
286,BCR,15601755000
287,ULTA,16301857890
288,EXPE,19149941760
289,MRO,15296820000
290,CERN,17164990260
291,SYMC,15121800000
292,LLTC,15364183770
293,CLX,15276223080
294,LNC,14809733549
295,HLT,24769160000
296,NLSN,15540774182
297,SWKS,14762885000
298,O,14340881792
299,RHT,14504502060
300,A,14425440000
301,MCHP,15488152000
302,ABC,17622542410
303,ESS,14168141612
304,NOV,14047360000
305,RCL,17462556990
306,SJM,14595772176
307,MLM,13984012350
308,BMRN,14361349820
309,HCP,13854933525
310,MGM,16310868750
311,FAST,13717257309
312,XLNX,14651512870
313,EFX,13882785000
314,GPC,14408229210
315,BEN,22919988000
316,DLR,13792705139
317,XRAY,13792831000
318,HBAN,11862929260
319,GGP,22428231280
320,WCN,9436562641
321,MSI,13610400000
322,RSG,19088560000
323,MJN,13336650000
324,FE,13360830000
325,HSY,22198208000
326,HST,46765776000
327,FLT,14233147380
328,XEC,12853311480
329,BLL,13338312120
330,M,15474740000
331,VIAB,14917040000
332,NOW,13623192478
333,HRS,12996780000
334,AWK,12970860000
335,WRK,13004800000
336,LH,13201665000
337,INFO,NA
338,CTL,12722367840
339,IVZ,12918506000
340,CTXS,13708434640
341,L,15074733000
342,TDG,14119554510
343,ADS,13360752000
344,VRSK,14271972572
345,BBY,14756530000
346,KLAC,12539697060
347,MHK,14731590720
348,DISH,28321069050
349,SBAC,12331434860
350,ETR,12301046597
351,WHR,12442904000
352,FRC,NA
353,HSIC,12193120800
354,DGX,12419320000
355,EQT,12114519360
356,COL,12248312000
357,STX,12070100000
358,CINF,12631404000
359,DVMT,NA
360,MKL,13475100000
361,AEE,11967683000
362,AAP,12535519200
363,GWW,13930151936
364,PRGO,12363888000
365,OKE,11692949100
366,CMG,11561342430
367,CE,11469788204
368,PANW,12066426000
369,CPB,17692790000
370,CHD,11503633000
371,DOV,11385102780
372,CMS,11189204000
373,FOX,52368930000
374,TXT,12453876800
375,MXIM,11332300980
376,CMA,10901250000
377,UHS,12095449420
378,AKAM,11713653900
379,KMX,11189473170
380,AYI,11011758000
381,AME,11019339350
382,LLL,12432276000
383,MTD,11078727496
384,HOG,10865089820
385,MAT,10870657080
386,CHRW,10694792550
387,HOLX,10954051680
388,SLG,11077866480
389,GPN,10549913550
390,IDXX,10722385700
391,MKC,11664480000
392,DVA,13111007858
393,TWTR,13023597910
394,MAS,10317900000
395,Q,9308415480
396,LBRDK,12951393510
397,WAT,10961399350
398,COG,10289095880
399,WU,10311009000
400,KIM,10728664420
401,NLY,10301386009
402,NTAP,10315560000
403,COH,10258341000
404,ALK,10211269180
405,CA,13263400000
406,TSCO,10086653280
407,FRT,10038485380
408,JNPR,10589130000
409,EMN,11057664000
410,MOS,9982600000
411,XL,10011406220
412,UNM,9880697040
413,KSS,9689400000
414,ALB,9958465440
415,DHI,10284120000
416,CNP,10340828560
417,WWAV,9999459445
418,AMTD,21899340000
419,SNA,9909093621
420,FL,9754645000
421,WFM,9934491000
422,TSO,9705055000
423,IPG,9818153000
424,HAS,10716445000
425,IFF,9687722325
426,ACGL,10334346336
427,KSU,9564002520
428,LKQ,10091191500
429,CTAS,11973751800
430,EXPD,9635176080
431,WDAY,16629843360
432,BG,9521258170
433,ETFC,9512048160
434,PNR,10549656000
435,CNC,10045624534
436,FFIV,9568748000
437,LEA,9331489488
438,MAC,9778604040
439,XYL,9303910800
440,RJF,10396265220
441,SNPS,9307267200
442,UDR,9133102200
443,SCG,10078737000
444,HRL,18563661120
445,NFX,9.04E+09
446,SEE,8969520000
447,ALLY,9416307671
448,DRE,9013231190
449,AJG,8942160000
450,VNTV,8788445444
451,RE,8653815550
452,DRI,9287110000
453,QVCA,17621432000
454,HBI,8812718640
455,CBG,9829719834
456,TIF,10301752000
457,URI,8689898950
458,CDK,8753090000
459,RMD,8735693200
460,ALKS,8656296160
461,JBHT,10811429310
462,PVH,8549358000
463,ARE,38312664000
464,CSC,9094500000
465,FBHS,8504130000
466,INGR,8721334000
467,ARNC,NA
468,TRGP,NA
469,FANG,8322511100
470,ARMK,8559934830
471,VAR,8641440000
472,EXR,9384845196
473,COTY,6292173000
474,CDW,8449476000
475,HII,8437472000
476,RAD,11759308000
477,Y,8803978606
478,FNF,-45297308000
479,WYNN,10345763610
480,IRM,8728565175
481,CIT,8282541750
482,SIVB,8224829380
483,PNW,8287553000
484,STLD,8716797360
485,ANSS,8338204280
486,LNG,9353834640
487,LNT,8161024000
488,ZION,8145570060
489,BF-B,NA
490,TSS,9005832620
491,DPZ,8073209407
492,WR,8121239747
493,IT,8616624460
494,GT,8174180000
495,XRX,9468126120
496,VER,NA
497,PKG,7916584000
498,AMG,8382460000
499,TMK,8374398198
500,COO,8060010000
501,WYN,7846910000
502,MIDD,7810873560
503,HDS,7925616720
504,RGA,7829019300
505,SIRI,22483618530
506,LEN,9728898000
507,VOYA,7758452000
508,HP,8169897400
509,UGI,7865625600
510,FTI,7818132000
511,CDNS,7554790440
512,BR,7872384000
513,SPLK,7665822420
514,HAR,7804424460
515,CCK,7543893000
516,SBNY,NA
517,AES,7579900000
518,JEC,7449447330
519,SPR,7246300000
520,FMC,7518564760
521,KORS,7849370066
522,FLR,7540843240
523,NDAQ,10618669480
524,BRX,7390736350
525,RRC,6356427940
526,NYCB,7755940908
527,ATO,7362626880
528,VAL,8288247603
529,WAB,7645108310
530,CSL,7218476010
531,BWA,7610069600
532,AOS,8471955501
533,VRSN,nm
534,LUK,8156296080
535,IEX,7196736800
536,SIG,6718944000
537,MSCI,7523272400
538,NI,7084294360
539,RPM,7155601310
540,TRMB,7137708000
541,ASH,6987400000
542,REG,6537687240
543,COMM,7073596040
544,MAA,6897631510
545,EWBC,6953995440
546,LDOS,5867580000
547,CPT,7084844520
548,SEIC,7733981500
549,QRVO,7067691890
550,JKHY,6815275360
551,JWN,9696528000
552,AMD,7261650000
553,CF,6745914000
554,ALGN,7580411300
555,KRC,6721862170
556,AIV,6589786700
557,BBBY,6744577150
558,VMW,34485149120
559,TFX,7018686780
560,FDS,6625432050
561,JBLU,6894594500
562,LEG,6699564000
563,ALLE,6503928000
564,AVY,6528636000
565,ST,6384290800
566,SGEN,9133543680
567,LSXMK,NA
568,NCLH,9060700545
569,OGE,6326835000
570,SPLS,6288750000
571,NNN,6260370347
572,BURL,6294808240
573,KEYS,6334760000
574,ARW,6276607260
575,CSGP,nm
576,HUBB,NA
577,SRCL,6245792912
578,MSCC,5858250000
579,FLS,6182687550
580,AGNC,6158255000
581,ODFL,7229432688
582,ACC,6198185958
583,WPC,6246041846
584,LII,6496879000
585,PE,6609144150
586,MD,6128075340
587,WCG,6116496343
588,BERY,6012216000
589,EGN,6052507770
590,MIC,7026362866
591,DISCK,8240778000
592,JAZZ,6388167720
593,GLPI,6279751260
594,WST,6086250000
595,MKTX,6264779840
596,ENH,6102291575
597,NVR,6643175000
598,RL,8703552000
599,OC,5929252000
600,MRVL,7375262760
601,PACW,6172575420
602,MAN,5893290000
603,PF,5867396803
604,AVT,5954824070
605,PHM,6458060060
606,PBCT,5670288000
607,KAR,5818080000
608,BEAV,6046028000
609,LPT,5796015800
610,BRCD,5362865520
611,MTN,5746118400
612,AFG,7277355000
613,OHI,6012137880
614,WRB,7573105980
615,AXTA,6301170000
616,MNK,5876050000
617,STE,5632684110
618,UA,6768484800
619,ULTI,6245241750
620,SNI,9012388240
621,IM,5603906880
622,SWN,5476206453
623,CBOE,5600536500
624,PTC,5582750520
625,RS,5883227000
626,ACM,5673253550
627,OZRK,5567427400
628,PKI,5583156160
629,RHI,5751930170
630,MUR,5839279959
631,TTC,2967044080
632,AXS,5512314510
633,LAMR,6488589693
634,NDSN,6149355680
635,GXP,4087811000
636,ARRS,4286917180
637,GPS,9963030000
638,NAVI,5444680000
639,UTHR,5807802000
640,TRIP,7107636760
641,LULU,7828914450
642,MDU,5452357295
643,CLR,21491718830
644,SON,5498471270
645,GRMN,9874438840
646,DCI,5459400000
647,CPRT,6505058880
648,X,5190990420
649,WPX,5306910000
650,ELS,6450741300
651,GNTX,5320250437
652,IONS,NA
653,PII,5648245220
654,WTR,5286499410
655,DEI,5531127570
656,CSRA,5284338936
657,WBC,5481550925
658,DXCM,5490889000
659,AIZ,5251918962
660,SERV,5239962000
661,SRC,5185659002
662,OSK,5149901400
663,SSNC,6199050000
664,RNR,5289377280
665,STWD,5335029630
666,HFC,5047479240
667,TSRO,6940679190
668,LAZ,5140665217
669,SABR,nm
670,OA,5024315730
671,DNKN,4974134112
672,FDC,13445461597
673,IAC,5934416000
674,SCI,5305343330
675,DKS,6605561820
676,TER,4971789020
677,FLIR,4956112340
678,CLB,4953203200
679,HRB,4885925440
680,ON,4945244000
681,CHK,5.44E+09
682,AR,7551293505
683,LW,NA
684,TYL,5717760000
685,PWR,5227409280
686,BRO,5915584350
687,CGNX,5215429660
688,WOOF,5119794960
689,UA-C,NA
690,TGNA,4891960570
691,NCR,6021750000
692,HXL,4866852000
693,BAH,5596220063
694,LECO,5219109270
695,THO,5300636587
696,BMS,4721601000
697,HIW,4899188340
698,DDR,5563031760
699,AGO,4716744000
700,CBSH,5524848000
701,ALSN,5531066000
702,PNRA,4961465010
703,CASY,4773570693
704,HPT,4558268055
705,QEP,4710536000
706,SUI,4984709730
707,POST,5251504000
708,S,31195360000
709,EPC,4685088000
710,ATR,4734014200
711,CFR,5140231515
712,GRA,4613882000
713,WFT,4593890000
714,JLL,4619583360
715,NFG,4783729845
716,WBS,4532617650
717,RGLD,4546162155
718,NUAN,4735411090
719,GGG,4523211320
720,BC,4606028000
721,SNV,4784710840
722,AMH,5023116297
723,CC,4489057100
724,RIG,4708500000
725,FCE-A,NA
726,ORI,5297462000
727,EXP,4687905942
728,TOL,5143192300
729,FHN,4466475360
730,EPR,4432966380
731,CUBE,4448782700
732,DNB,4454952000
733,FTNT,5355933800
734,WAL,4885230080
735,RSPP,4475448100
736,XPO,5491172000
737,NWSA,5.78E+09
738,WSM,4915738080
739,GWR,4444952000
740,PB,4594580140
741,EV,4602476400
742,ABMD,5003659200
743,CRI,4521272359
744,NBR,4454982700
745,MSM,5456529840
746,WRI,4520565040
747,SLM,4365576610
748,HPP,4054077629
749,OLN,4.33E+09
750,SNH,4287371760
751,SIX,5427094200
752,FTR,4249227800
753,EVHC,4363272079
754,WEX,4742390020
755,TRN,4132373000
756,TTWO,4598082000
757,AA,14571910000
758,EME,4223903505
759,BPOP,4196938396
760,AZPN,4193909550
761,ISBC,3983126955
762,R,4146219900
763,ZAYO,8.42E+09
764,TCO,4420593348
765,CNK,4613193120
766,SMG,5576597000
767,VR,4414829173
768,DCT,4168721850
769,FAF,4198612740
770,PDCE,3636063550
771,DISCA,8240778000
772,HHC,4779600000
773,VVC,4073640000
774,HAIN,4079169530
775,VEEV,6835349750
776,GWRE,4083179047
777,SLCA,3374472360
778,NBIX,4031116800
779,POOL,4338202590
780,CW,4523098440
781,GPK,4018629000
782,CPN,3949497250
783,NEU,4937238000
784,ZBRA,4086110626
785,HUN,4677148000
786,ANET,6964078930
787,THS,3982503320
788,TECH,3950028930
789,UMPQ,3922745270
790,MENT,4016993440
791,HTA,4047942640
792,EXEL,4338199075
793,CBRL,3922957831
794,TDY,4445372000
795,SAVE,3876821200
796,AWH,4147511158
797,NRZ,3724985437
798,AGCO,4508640000
799,WSO,5274600000
800,IDA,3837426950
801,SBH,3897150570
802,RICE,3874366486
803,VSAT,3601992240
804,STOR,3793581827
805,LSI,NA
806,MANH,3759333200
807,WWD,4304647880
808,PTEN,3902514420
809,AMSG,3696054960
810,ATHN,3.78E+09
811,WGL,3654774640
812,THG,3723370000
813,POR,3699113600
814,BKU,3649387433
815,GPT,NA
816,Z,NA
817,FNSR,3682581830
818,LYV,6025665207
819,EQC,3680597440
820,CR,4365306000
821,CSAL,NA
822,BWXT,NA
823,CST,3660894630
824,RPAI,3618268080
825,ITT,3621189000
826,MPW,2949818560
827,MMS,3661801410
828,BIO,5133691500
829,NRG,3594780000
830,BOH,3566430706
831,TCBI,3345082612
832,HLS,4141998000
833,RLGY,3504165000
834,EEFT,3910404693
835,PVTB,3773882940
836,FICO,3687958200
837,AL,3985077201
838,TDC,3549910000
839,SXT,3499681440
840,SNX,4621919940
841,PPS,3472263060
842,OUT,3491585000
843,OPK,5743184366
844,CBI,3413429130
845,CHFC,2539214720
846,ALR,3506611500
847,ASB,3426883050
848,CRUS,3614435000
849,JBL,4076662500
850,CLC,3455928061
851,LSTR,3434746500
852,OAS,2651486400
853,HLF,4236192000
854,NATI,3803015090
855,HR,3380228818
856,WTFC,3668999840
857,IBKC,3363170400
858,JACK,3551866920
859,MSG,4176736560
860,CONE,3469884000
861,SM,3127734480
862,DST,NA
863,WLL,3426707960
864,CRL,3353076000
865,JCOM,3491338631
866,UBSI,3537294724
867,SWX,3545637900
868,HE,3340937600
869,CY,3866827500
870,CLGX,3365063240
871,IPGP,5156755120
872,SKT,62046000
873,AMCX,3986456400
874,CNX,4741632000
875,DLX,3282976100
876,PRI,3326505700
877,LFUS,3314389860
878,PDCO,3726370200
879,RBC,3280500000
880,NUVA,3620251800
881,RYN,3250071045
882,KEX,3391719750
883,CFX,4619890619
884,G,5010384024
885,HBHC,3227479350
886,GPOR,3221753768
887,FNB,3213488424
888,ENDP,3566499670
889,VMI,3373925100
890,UMBF,3746590966
891,ALNY,3760360920
892,AN,4582116000
893,EPAM,3549637600
894,HZNP,3190179163
895,COHR,3186157500
896,LHO,3176396821
897,TEN,3310968546
898,LVNTA,17621432000
899,LSXMA,NA
900,ROL,6936867000
901,GRUB,3200280720
902,SHO,3132105020
903,TEX,3314472000
904,CACI,3225683200
905,SAIC,3690879000
906,TPX,3722040000
907,HRC,3552230640
908,CAVM,3539617200
909,SF,3865568400
910,USG,4249821924
911,OGS,3177049420
912,CNO,3145441700
913,INT,3089970000
914,CAR,3466840000
915,RDN,3290094080
916,PRXL,3168300000
917,BDC,3148213900
918,ENS,3618831265
919,WTM,4016870121
920,FR,3091052800
921,MTG,3682873500
922,HOMB,3633079320
923,BWLD,3094399426
924,MKSI,3125828250
925,ESRT,5659984380
926,PFPT,nm
927,BKH,3156813750
928,DFT,3094063116
929,FULT,3071105000
930,AHL,3137349067
931,APLE,3513981720
932,ALE,3060090000
933,BFAM,4148187576
934,SKX,3535524340
935,MBFI,3404620766
936,CIM,3187119672
937,MDSO,3187137600
938,TWO,3013928049
939,ISIL,3074227800
940,MPWR,3437065800
941,TECD,3008556630
942,IDTI,3210620400
943,CTLT,2751950000
944,BLKB,2975401975
945,CAB,4299009787
946,PRA,2996208800
947,OI,2998057480
948,LM,3332433500
949,TXRH,3328299090
950,NJR,2987882950
951,EDR,2972123000
952,CIEN,3632536050
953,EAT,2951641360
954,WAFD,2982574189
955,LPLA,3705081690
956,WNR,3900288580
957,ESV,2884476000
958,MFA,2951268000
959,FLO,3242810880
960,WCC,2945366200
961,LNCE,3614667120
962,CBT,3203497000
963,PDM,2865313892
964,SPB,7145444000
965,BGS,2783628369
966,TMH,3204185200
967,PNFP,2961734736
968,ACHC,3292350180
969,STL,2977420219
970,MTX,2859300000
971,SFM,3001980240
972,STRZA,3599318000
973,SR,NA
974,EQY,4303005160
975,RARE,3096520052
976,ENR,2777453000
977,NUS,3018717360
978,BECN,2802794128
979,CPE,2425200120
980,POL,2785965000
981,AKS,2160062500
982,JCP,2919601000
983,TRCO,3230104500
984,TKR,3043392326
985,JOY,2781248720
986,LPX,2812036000
987,KMT,2761062460
988,MASI,3314066550
989,FCNCA,4276440000
990,VLY,2891023081
991,NRF,2751641995
992,CLH,3044511520
993,NTCT,2867872800
994,TRU,5512584000
995,ERIE,32151000
996,CMN,3372431140
997,IDCC,2770025250
998,OFC,-1184868000
999,NWE,2719128852
1000,AEO,3037319280
